query_id,chunk_id,position,score,Context,Question
Does the company report short-term actions taken or planned to reduce its waste generation?,ccd2ef93332d9924,6,3.0,"In 2024, as we mobilise activities on our new ‘Zero Waste by 2030’ target details on page 98, we will also continue our journey to achieve 80 per cent reduction in operational waste by 2025 across our branches and offices by: 
- Continuing to build colleague awareness with communication and engagement activities to help reduce our operational waste, as colleagues have a significant role to play in achieving our ambition 
- Continuing to right-size our printer estate in offices and branches 
- Continuing removal of single-use plastic items from our catering and cleaning operations From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available",Does the company report short-term actions taken or planned to reduce its waste generation?
Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,9f877f6fa2763454,3,3.0,"Sector selection We have prioritised setting our targets on fossil fuel sectors and other carbon-intensive sectors covering the majority of the Bank’s portfolio emissions in accordance with the NZBA guidelines. Our targets are summarised on page 114. Scenario and reference pathway We have used three climate scenarios and related scenario pathways as a foundation to create reference pathways. The reference pathway is calculated by rescaling the scenario pathway to our banking portfolio for the sector, such that it is equal to our NZBA target baseline emissions in the base year.",Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,d20b144be4c8f65e,3,3.0,"Taskforce on Nature-related Financial Disclosures (TNFD) The TNFD is a set of voluntary disclosure recommendations, launched in September 2023. The Group continues to monitor TNFD developments within the UK and Europe. We expect the structure of reporting against the TNFD will be very similar to how the Group has and is continuing to embed sustainability into the business according to the four pillars of TCFD, including: Strategy, Governance, Risk Management and Metrics & Targets.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,845fc5b59770099c,4,3.0,"Our 2023 Group climate transition plan sets out the steps we’ll take to reduce emissions to net zero for our operations, supply chain and how we are addressing nature, Just Transition, engagement and data at the Group level. We outline specific activities happening in the Bank in the transition plan section. Our climate transition plan has been informed by guidance from the Glasgow Financial Alliance for Net Zero (GFANZ) and UK TPT, as well as guidance from the Task Force on Climate-related Financial Disclosures (TCFD), all of which continue to evolve.",Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,af7dcf53b26ae31d,5,3.0,"The Group continues to monitor the evolving sustainability reporting landscape. This section details activities undertaken to date to prepare for upcoming regulatory reporting changes
International Sustainability Standards Board (ISSB) 
We have reviewed the ISSB standards IFRS S1 ‘General Requirements for Disclosure of Sustainability-related Financial Information’ and IFRS S2 ‘Climate-related disclosures’ and are supportive of the ISSB objective to develop a comprehensive global baseline of sustainability disclosures.",Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,46f3a24000d7dd7e,6,3.0,"The SDGs provide a common framework for us to identify how we can play a more active role in the sustainable development of UK society and help us frame how we use our operating model, scale, resources and skillsets to respond to some of the biggest societal challenges faced by the UK today. When conducting our materiality review and impact assessment of our operations, products and services in line with the requirements of the UNEP FI Principles for Responsible Banking, we have considered, among other inputs, the SDGs with the highest materiality to our business and sector, to assist us in identifying our most material areas of societal impact. In determining our areas of societal impact, we have reviewed our commercial exposures, considering both the potential for positive and negative impact as well as risk mitigation, and considered the level of influence that the Group may feasibly have to make an impact, as well as those of highest impact to our key stakeholders.",Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,9f877f6fa2763454,4,3.0,"Sector selection We have prioritised setting our targets on fossil fuel sectors and other carbon-intensive sectors covering the majority of the Bank’s portfolio emissions in accordance with the NZBA guidelines. Our targets are summarised on page 114. Scenario and reference pathway We have used three climate scenarios and related scenario pathways as a foundation to create reference pathways. The reference pathway is calculated by rescaling the scenario pathway to our banking portfolio for the sector, such that it is equal to our NZBA target baseline emissions in the base year.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,cd9110ff41c8f954,5,3.0,"We continue to explore the requirements to be met to obtain external verification of the science-aligned approach to our sector targets. We have actively reviewed and provided feedback on the public consultation documents released by the Science Based Targets initiative (SBTi) in 2023 related to new and updated approaches for financial institutions. However, significant challenges still remain with the proposed updates, one of which is the inability to use regional 1.5 aligned scenarios from credible national bodies such as UK Climate Change Committee’s Balanced Net Zero Pathway (BNZP), which sets out feasible 1.5 aligned pathways for UK sectors, taking into account economic, fiscal and social circumstances and energy policy in the UK.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,845fc5b59770099c,6,3.0,"Our 2023 Group climate transition plan sets out the steps we’ll take to reduce emissions to net zero for our operations, supply chain and how we are addressing nature, Just Transition, engagement and data at the Group level. We outline specific activities happening in the Bank in the transition plan section. Our climate transition plan has been informed by guidance from the Glasgow Financial Alliance for Net Zero (GFANZ) and UK TPT, as well as guidance from the Task Force on Climate-related Financial Disclosures (TCFD), all of which continue to evolve.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,4692df079ffb6f14,7,3.0,"Sustainability disclosure requirements and investment labels. In November 2023, the FCA confirmed a substantial package of measures to improve the trust and transparency of sustainable investment products and minimise greenwashing",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,412663bd50e082cc,8,3.0,Corporate Sustainability Due Diligence Directive (CSDDD) The Group continues to monitor the development of the Corporate Sustainability Due Diligence Directive and its anticipated implementation including how the requirements will impact the Group and our EU subsidiary teams.,Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,0e241b365759a1ad,9,3.0,"Corporate Sustainability Reporting Directive (CSRD) Our EU operations are in scope for CSRD reporting from 2024, with the Group providing guidance on ESG material topics to support a double materiality perspective. We continue to explore the use of tools available to complete the double materiality assessment, the Group is looking to complete a gap analysis against the CSRD requirements in 2024",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,af7dcf53b26ae31d,10,3.0,"The Group continues to monitor the evolving sustainability reporting landscape. This section details activities undertaken to date to prepare for upcoming regulatory reporting changes
International Sustainability Standards Board (ISSB) 
We have reviewed the ISSB standards IFRS S1 ‘General Requirements for Disclosure of Sustainability-related Financial Information’ and IFRS S2 ‘Climate-related disclosures’ and are supportive of the ISSB objective to develop a comprehensive global baseline of sustainability disclosures.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Does the company report short-term actions taken or planned to reduce its waste generation?,ccd2ef93332d9924,7,3.0,"In 2024, as we mobilise activities on our new ‘Zero Waste by 2030’ target details on page 98, we will also continue our journey to achieve 80 per cent reduction in operational waste by 2025 across our branches and offices by: 
- Continuing to build colleague awareness with communication and engagement activities to help reduce our operational waste, as colleagues have a significant role to play in achieving our ambition 
- Continuing to right-size our printer estate in offices and branches 
- Continuing removal of single-use plastic items from our catering and cleaning operations From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available",Does the company report short-term actions taken or planned to reduce its waste generation?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,46f3a24000d7dd7e,11,3.0,"The SDGs provide a common framework for us to identify how we can play a more active role in the sustainable development of UK society and help us frame how we use our operating model, scale, resources and skillsets to respond to some of the biggest societal challenges faced by the UK today. When conducting our materiality review and impact assessment of our operations, products and services in line with the requirements of the UNEP FI Principles for Responsible Banking, we have considered, among other inputs, the SDGs with the highest materiality to our business and sector, to assist us in identifying our most material areas of societal impact. In determining our areas of societal impact, we have reviewed our commercial exposures, considering both the potential for positive and negative impact as well as risk mitigation, and considered the level of influence that the Group may feasibly have to make an impact, as well as those of highest impact to our key stakeholders.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Does the company seek to adjust its business model to better provide climate change adaptation products and services?,dc2274d5e47dbbc0,1,3.0,"The “Real Good” badge was developed in 2020 to identify AE and Aerie products made with less environmental impact than conventional methods. AEO has developed the Real Good program as a label that covers a broad range of sustainability efforts used in the production of fibers, fabrics and finished goods.",Does the company seek to adjust its business model to better provide climate change adaptation products and services?
Does the company seek to adjust its business model to better provide climate change adaptation products and services?,08bfbee563798b3b,2,3.0,"AEO understands that climate risks are impacting our business, and that our operations have an impact on the environment. The TCFD framework helps our stakeholders understand these risks and ensure we are mitigating as best we can. You can find our TCFD index located in the Appendix of the report.",Does the company seek to adjust its business model to better provide climate change adaptation products and services?
Does the company seek to adjust its business model to better provide climate change adaptation products and services?,53e06f4e5e0f0717,3,2.0,"We are working to increase the use of sustainable raw materials in our products while striving to eliminate materials sourced from endangered forests. Cotton, polyester, nylon and man-made cellulosic fibers (MMCFs) make up 89% by weight of the materials used in our products, with cotton alone representing 61% of our total materials usage.
To guide our process, we reference the Textile Exchange Preferred Fiber and Material Matrix when determining our preferred fibers and criteria to meet the requirements for our Real Good designation.",Does the company seek to adjust its business model to better provide climate change adaptation products and services?
Does the company seek to adjust its business model to better provide climate change adaptation products and services?,d924137e63df1905,4,2.0,"Energy efficiency and renewable energy are central components in AEO’s journey to reduce our greenhouse gas (GHG) emissions and reach our climate goals. We have followed the GHG Protocol and Reporting Standard for calculating our emissions and the Science Based Target Initiative guidelines for setting targets. AEO is working to reduce Scope 1 and 2 greenhouse gas emissions by 80% by 2030, and reduce scope 3 GHG emissions from purchased goods, services and capital goods by 40% by 2030 and 60% by 2040. As we make progress toward our ambitious goals, we are setting our sights on net-zero emissions no later than 2050. To help us get there, we are proud to share that we have joined the RE100 initiative and set a goal to source 100% of our electricity from renewable sources for our owned and operated facilities.",Does the company seek to adjust its business model to better provide climate change adaptation products and services?
Does the company seek to adjust its business model to better provide climate change adaptation products and services?,0edaa66afb5d0b85,5,2.0,"Water is a precious global resource and we are on a continuous journey to reduce the amount of water used to create our products. The manufacturing of jeans is a water-intensive process and we are committed to improving efficiency and ensuring our factory partners are equally as dedicated to water conservation. 
AEO has made strong commitments to reduce the amount of water used to make our jeans, and we have worked tirelessly over the past years to implement new practices together with our suppliers. Key to this has been our Water Leadership Program (WLP), which focuses on water reduction management, proper wastewater and chemical management and water recycling.",Does the company seek to adjust its business model to better provide climate change adaptation products and services?
Does the company provide definitions for climate change adaptation?,context_6009,1,1.0,,Does the company provide definitions for climate change adaptation?
Does the company report the climate change scenarios used to test the resilience of its business strategy?,cf59c73d8aff9da3,1,2.0,"Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario. […] 2023 CDP Climate Change Disclosure: C3.2, C3.2a, C3.2b",Does the company report the climate change scenarios used to test the resilience of its business strategy?
Has the company identified any synergies between its climate change adaptation goals and other business goals?,0b1426af19e8dc2a,1,2.0,"As we focus on growing our brands and generating shareholder returns, our corporate strategy and culture are rooted in ESG initiatives. “Building a Better World” guides us to improve our performance through environmental initiatives to protect our planet; social responsibility efforts to improve the lives of people; and governance practices to operate ethically and with integrity. We are committed to greater transparency, communication and standardized reporting of our progress.",Has the company identified any synergies between its climate change adaptation goals and other business goals?
