Unnamed: 0,Document,Question,Context,Relevant,Page,Source From,Answer,Source Relevance Score,Unsure Flag,Addressed Directly,Core 16 Question
5,2022 Microsoft Environmental Sustainability Report.pdf,Does the company report short-term actions taken or planned to reduce its waste generation?,"We recognize the urgent need to reduce carbon emissions associated with the lifecycle of these materials. As a company that manufactures devices, builds campuses and datacenters, and uses manufactured goods in our operations, we have committed to responsibly design and source materials and build a more circular approach into our work and the world. To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs","Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs",37,text,"[YES]. Microsoft reports short-term actions taken and planned to reduce its waste generation, for example by reducing materials needed, recycling, and eliminating single use plastics from certain products.",3.0,,directly,1
4,2022 Microsoft Environmental Sustainability Report.pdf,Does the company report short-term actions taken or planned to reduce its waste generation?,"We recognize the urgent need to reduce carbon emissions associated with the lifecycle of these materials. As a company that manufactures devices, builds campuses and datacenters, and uses manufactured goods in our operations, we have committed to responsibly design and source materials and build a more circular approach into our work and the world. To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs","To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions.",37,text,"[YES]. Microsoft reports short-term actions taken and planned to reduce its waste generation, for example by reducing materials needed, recycling, and eliminating single use plastics from certain products.",3.0,,directly,1
3,2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft’s actions alone will not solve the climate crisis. As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy. We’re focused on accelerating the availability of new climate technologies, strengthening our climate policy agenda, helping to develop a more reliable and interoperable carbon accounting system, advocating for skilling programs to expand the green workforce, and working to enable a just energy transition.","As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy.",65,text,[YES]. Microsoft's commitment to a net zero economy and developing early warning systems align with external climate change adaptation targets.,3.0,,directly,1
2,2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"We have also engaged and supported the drive to increase the circularity of devices, boost transparency and efficiency in waste management policies, and empower consumers with better information. Globally, Microsoft advocated for public policies to accelerate climate action; invest in mitigation, adaptation, and a just transition; and align international climate reporting and disclosure rules. At COP27, Microsoft called on countries to remain committed to the target of limiting global warming to 1.5°C. In response to the UN Secretary-General's call to action to develop early warning systems for all within the next five years, Microsoft joined global leaders in support of this initiative while highlighting the fundamental role that technology can play in these efforts. 
Sharing principles that guide our policy work in carbon and electricity 
To support our policy work, we published briefs on carbon and electricity policy to share the priorities and principles that guide Microsoft's policy advocacy work around the world.","In response to the UN Secretary-General's call to action to develop early warning systems for all within the next five years, Microsoft joined global leaders in support of this initiative while highlighting the fundamental role that technology can play in these efforts.",72,text,[YES]. Microsoft's commitment to a net zero economy and developing early warning systems align with external climate change adaptation targets.,3.0,,directly,1
10,2022 Microsoft Environmental Sustainability Report.pdf,Does the company identify any impacts of its business activities on the environment?,"In 2022, our business grew by 18 percent and our overall emissions declined by 0.5 percent. This in part is a result of a reduction in our direct operational (Scope 1 and 2) emissions by 22.7 percent. At Microsoft, Scope 1 and 2 emissions account for less than four percent of total emissions, while indirect emissions, or Scope 3, account for more than 96 percent.
Our Scope 3 reported emissions increased slightly in 2022, by 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth. The more positive outcomes in 2022 are the result of improvements in our operations, real-time device telemetry-based measurement, renewable energy investments, sustainable aviation fuel (SAF) purchases, and procurement of unbundled renewable energy certificates (RECs).","At Microsoft, Scope 1 and 2 emissions account for less than four percent of total emissions, while indirect emissions, or Scope 3, account for more than 96 percent.",4,text,"[YES]. Microsoft reports their emissions, land use, and waste generation. However, they are focused on highlighting improvements and do not give substantial detail on their current negative impacts.",1.0,,directly,1
16,2023 Lloyds sustainability report.pdf,Does the company report short-term actions taken or planned to reduce its waste generation?,"Short term (2024-5): 
Focus on achieving our legacy commitment on operational waste (80 per cent reduction by 2025, versus a 2014/15 baseline
Focus on data quality, increasing granularity and accuracy of operational waste data, working with suppliers to maximise our technology waste capture capabilities
Develop a new recycling and single use items strategy across our operations and introduce circularity principle and zero waste policy for our larger sites
Expand external waste disclosure to include all operational and technology waste
Complete our first TRUE zero waste certification pilot in one of our major offices.","Short term (2024-5): 
Focus on achieving our legacy commitment on operational waste (80 per cent reduction by 2025, versus a 2014/15 baseline
Focus on data quality, increasing granularity and accuracy of operational waste data, working with suppliers to maximise our technology waste capture capabilities
Develop a new recycling and single use items strategy across our operations and introduce circularity principle and zero waste policy for our larger sites
Expand external waste disclosure to include all operational and technology waste
Complete our first TRUE zero waste certification pilot in one of our major offices.",99,table,Yes. Lloyd reports a number of actions taken and planned to reduce waste generation.,3.0,,indirectly,1
17,2023 Lloyds sustainability report.pdf,Does the company report short-term actions taken or planned to reduce its waste generation?,"Longer term (2026-2030)
Remove single-use items from our own operations. 
Embed innovation across our operations and technology waste, with focus on recycling, data, waste audit and gamificationAchieve TRUE certification as part of our governance for our larger occupied sites and embed updates into our annual external 
Work with suppliers to embed a materials circularity principle across our goods sourcing.","Longer term (2026-2030)
Remove single-use items from our own operations. 
Embed innovation across our operations and technology waste, with focus on recycling, data, waste audit and gamificationAchieve TRUE certification as part of our governance for our larger occupied sites and embed updates into our annual external 
Work with suppliers to embed a materials circularity principle across our goods sourcing.",99,table,Yes. Lloyd reports a number of actions taken and planned to reduce waste generation.,3.0,,indirectly,1
18,2023 Lloyds sustainability report.pdf,Does the company report a plan to engage with downstream partners on water consumption or water pollution?,"Furthermore, we have advanced our approach to responsible investment and stewardship through the implementation of Voting Guidelines, which we use to monitor and, where appropriate, challenge our key managers’ voting policies and practices to influence and encourage them to make their own in-house policies more progressive. Where relevant, our guidelines adopt a stance that investee companies should promote biodiversity, conservation, water quality, waste management and nature-based solutions to allow nature and people to flourish. These guidelines also set out our expectations that companies have (or are actively working towards) adequate policies and programmes on sustainable land and water use to protect nature and address community concerns on land use","Where relevant, our guidelines adopt a stance that investee companies should promote biodiversity, conservation, water quality, waste management and nature-based solutions to allow nature and people to flourish.",176,text,Yes. Lloyds briefly notes that investee partners are expted to reduce water consumption.,2.0,,indirectly,1
19,2023 Lloyds sustainability report.pdf,Does the company identify any impacts of its business activities on the environment?,"Our activity 
The role of Lloyds Banking Group 
We recognise that we, like every individual and organisation, have both an impact and a dependency on our natural world. We believe there are several ways that the Group can play a critical role in halting and reversing nature loss and helping the economy transition","We recognise that we, like every individual and organisation, have both an impact and a dependency on our natural world",93,text,"Yes. Lloyds acknowledges the existence of environmental impact of its activities, and discloses its scope 3 supply chain emissions.",3.0,,directly,1
20,2023 Lloyds sustainability report.pdf,Does the company identify any impacts of its business activities on the environment?,,"785,237 tCO2e",102,table,"Yes. Lloyds acknowledges the existence of environmental impact of its activities, and discloses its scope 3 supply chain emissions.",3.0,,directly,1
23,2023 Lloyds sustainability report.pdf,Does the company have a strategy on waste management?,"By 2025, we will achieve our existing 80 per cent waste reduction target, and by 2030 we will align with the Zero Waste International Alliance’s definition of a zero-waste business, diverting over 90 per cent of our operational and technology waste from landfill and incineration, focusing our effort on preventing, reducing, reusing and recycling waste. As part of our pledge, we will: 
- Measure and disclose our full operational and technology waste impact 
- By 2030, divert over 90 per cent of our operational and technology waste from landfill and incineration, with the ambition to include construction waste when better data is available
-  Achieve the TRUE waste certification across our larger operating sites","By 2025, we will achieve our existing 80 per cent waste reduction target, and by 2030 we will align with the Zero Waste International Alliance’s definition of a zero-waste business, diverting over 90 per cent of our operational and technology waste from landfill and incineration, focusing our effort on preventing, reducing, reusing and recycling waste. As part of our pledge, we will: 
- Measure and disclose our full operational and technology waste impact 
- By 2030, divert over 90 per cent of our operational and technology waste from landfill and incineration, with the ambition to include construction waste when better data is available
-  Achieve the TRUE waste certification across our larger operating sites",98,table,Lloyd's has a strategy to achieve zero waste by 2030. ,3.0,,directly,1
22,2023 Lloyds sustainability report.pdf,Does the company have a strategy on waste management?,"In 2024, as we mobilise activities on our new ‘Zero Waste by 2030’ target details on page 98, we will also continue our journey to achieve 80 per cent reduction in operational waste by 2025 across our branches and offices by: 
- Continuing to build colleague awareness with communication and engagement activities to help reduce our operational waste, as colleagues have a significant role to play in achieving our ambition 
- Continuing to right-size our printer estate in offices and branches 
- Continuing removal of single-use plastic items from our catering and cleaning operations From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available","From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available",97,table,Lloyd's has a strategy to achieve zero waste by 2030. ,3.0,,directly,1
24,2023 Lloyds sustainability report.pdf,Does the company have a strategy on waste management?,"Short term (2024-5): 
Focus on achieving our legacy commitment on operational waste (80 per cent reduction by 2025, versus a 2014/15 baseline
Focus on data quality, increasing granularity and accuracy of operational waste data, working with suppliers to maximise our technology waste capture capabilities
Develop a new recycling and single use items strategy across our operations and introduce circularity principle and zero waste policy for our larger sites
Expand external waste disclosure to include all operational and technology waste
Complete our first TRUE zero waste certification pilot in one of our major offices.","Short term (2024-5): 
Focus on achieving our legacy commitment on operational waste (80 per cent reduction by 2025, versus a 2014/15 baseline
Focus on data quality, increasing granularity and accuracy of operational waste data, working with suppliers to maximise our technology waste capture capabilities
Develop a new recycling and single use items strategy across our operations and introduce circularity principle and zero waste policy for our larger sites
Expand external waste disclosure to include all operational and technology waste
Complete our first TRUE zero waste certification pilot in one of our major offices.",99,table,Lloyd's has a strategy to achieve zero waste by 2030. ,3.0,,directly,1
25,2023 Lloyds sustainability report.pdf,Does the company have a strategy on waste management?,"Longer term (2026-2030)
Remove single-use items from our own operations. 
Embed innovation across our operations and technology waste, with focus on recycling, data, waste audit and gamificationAchieve TRUE certification as part of our governance for our larger occupied sites and embed updates into our annual external 
Work with suppliers to embed a materials circularity principle across our goods sourcing.","Longer term (2026-2030)
Remove single-use items from our own operations. 
Embed innovation across our operations and technology waste, with focus on recycling, data, waste audit and gamificationAchieve TRUE certification as part of our governance for our larger occupied sites and embed updates into our annual external 
Work with suppliers to embed a materials circularity principle across our goods sourcing.",99,table,Lloyd's has a strategy to achieve zero waste by 2030. ,3.0,,directly,1
15,2023 Lloyds sustainability report.pdf,Does the company report short-term actions taken or planned to reduce its waste generation?,"By 2025, we will achieve our existing 80 per cent waste reduction target, and by 2030 we will align with the Zero Waste International Alliance’s definition of a zero-waste business, diverting over 90 per cent of our operational and technology waste from landfill and incineration, focusing our effort on preventing, reducing, reusing and recycling waste. As part of our pledge, we will: 
- Measure and disclose our full operational and technology waste impact 
- By 2030, divert over 90 per cent of our operational and technology waste from landfill and incineration, with the ambition to include construction waste when better data is available
-  Achieve the TRUE waste certification across our larger operating sites","By 2025, we will achieve our existing 80 per cent waste reduction target, and by 2030 we will align with the Zero Waste International Alliance’s definition of a zero-waste business, diverting over 90 per cent of our operational and technology waste from landfill and incineration, focusing our effort on preventing, reducing, reusing and recycling waste. As part of our pledge, we will: 
- Measure and disclose our full operational and technology waste impact 
- By 2030, divert over 90 per cent of our operational and technology waste from landfill and incineration, with the ambition to include construction waste when better data is available
-  Achieve the TRUE waste certification across our larger operating sites",98,table,Yes. Lloyd reports a number of actions taken and planned to reduce waste generation.,3.0,,indirectly,1
21,2023 Lloyds sustainability report.pdf,Does the company identify any impacts of its business activities on the environment?,"Our bank financed emissions.
Our Scope 3 financed emissions are calculated from the Scope 1 and 2 emissions generated from our investments or lending. Scope 3 (value chain) emissions are also calculated and reported separately for certain sectors, aligning to the PCAF standard phased approach. We continue to refine our estimates of financed emissions as we enhance our understanding, calculation methodologies and data. Further details on our calculation methodology can be found within the sustainability metrics basis of reporting . We recognise our role in the UK economy, and the opportunities it creates to support the transition of our most carbon-intensive sectors in order to meet our net zero ambitions. In supporting the transition through direct financing our financed emissions may increase on a temporary basis. In the long-term we expect that supporting the transition of our high carbon sector clients will reduce our financed emissions","We recognise our role in the UK economy, and the opportunities it creates to support the transition of our most carbon-intensive sectors in order to meet our net zero ambitions",115,text,"Yes. Lloyds acknowledges the existence of environmental impact of its activities, and discloses its scope 3 supply chain emissions.",3.0,,directly,1
14,2023 Lloyds sustainability report.pdf,Does the company report short-term actions taken or planned to reduce its waste generation?,"In 2024, as we mobilise activities on our new ‘Zero Waste by 2030’ target details on page 98, we will also continue our journey to achieve 80 per cent reduction in operational waste by 2025 across our branches and offices by: 
- Continuing to build colleague awareness with communication and engagement activities to help reduce our operational waste, as colleagues have a significant role to play in achieving our ambition 
- Continuing to right-size our printer estate in offices and branches 
- Continuing removal of single-use plastic items from our catering and cleaning operations From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available","From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available",97,table,Yes. Lloyd reports a number of actions taken and planned to reduce waste generation.,3.0,,indirectly,1
12,2023 Lloyds sustainability report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Sector selection We have prioritised setting our targets on fossil fuel sectors and other carbon-intensive sectors covering the majority of the Bank’s portfolio emissions in accordance with the NZBA guidelines. Our targets are summarised on page 114. Scenario and reference pathway We have used three climate scenarios and related scenario pathways as a foundation to create reference pathways. The reference pathway is calculated by rescaling the scenario pathway to our banking portfolio for the sector, such that it is equal to our NZBA target baseline emissions in the base year.",We have prioritised setting our targets on fossil fuel sectors and other carbon-intensive sectors covering the majority of the Bank’s portfolio emissions in accordance with the NZBA guidelines. ,114,text,Yes. Some of Lloyd's environmental/sustainability targets align with external climate change adaptation goals/targets.,3.0,,indirectly,1
4,2023 Lloyds sustainability report.pdf,Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,"Taskforce on Nature-related Financial Disclosures (TNFD) The TNFD is a set of voluntary disclosure recommendations, launched in September 2023. The Group continues to monitor TNFD developments within the UK and Europe. We expect the structure of reporting against the TNFD will be very similar to how the Group has and is continuing to embed sustainability into the business according to the four pillars of TCFD, including: Strategy, Governance, Risk Management and Metrics & Targets.","The TNFD is a set of voluntary disclosure recommendations, launched in September 2023. The Group continues to monitor TNFD developments within the UK and Europe.",29,text,Yes. Lloyd's references a variety of external climate change adaptation goals/targets in setting its own targets.,3.0,,indirectly,1
11,2023 Lloyds sustainability report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Our 2023 Group climate transition plan sets out the steps we’ll take to reduce emissions to net zero for our operations, supply chain and how we are addressing nature, Just Transition, engagement and data at the Group level. We outline specific activities happening in the Bank in the transition plan section. Our climate transition plan has been informed by guidance from the Glasgow Financial Alliance for Net Zero (GFANZ) and UK TPT, as well as guidance from the Task Force on Climate-related Financial Disclosures (TCFD), all of which continue to evolve.","Our climate transition plan has been informed by guidance from the Glasgow Financial Alliance for Net Zero (GFANZ) and UK TPT, as well as guidance from the Task Force on Climate-related Financial Disclosures (TCFD), all of which continue to evolve.",91,text,Yes. Some of Lloyd's environmental/sustainability targets align with external climate change adaptation goals/targets.,3.0,,indirectly,1
